timestamp,dma_id,dma_name,sensor_id,pressure_mca,flow_lps,source,quality_flag
2026-07-10T08:19:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,41.586934600922625,20.182446192545164,simulation,GOOD
2026-07-10T08:34:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,41.26119015820145,21.01774044130462,simulation,GOOD
2026-07-10T08:49:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,41.509712202029604,21.34272523818067,simulation,GOOD
2026-07-10T09:04:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,41.08003586371289,21.919562064261882,simulation,GOOD
2026-07-10T09:19:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,40.70356389016647,22.06646209984857,simulation,GOOD
2026-07-10T09:34:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,40.922082094052236,21.97093603173405,simulation,GOOD
2026-07-10T09:49:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,40.9079005540989,22.71068024732857,simulation,GOOD
2026-07-10T10:04:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,40.72571742916071,22.469768494436238,simulation,GOOD
2026-07-10T10:19:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,40.45356062678766,22.97998248671998,simulation,GOOD
2026-07-10T10:34:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,40.3009883112424,23.002193058585906,simulation,GOOD
2026-07-10T10:49:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,40.325200192458816,22.902904393105725,simulation,GOOD
2026-07-10T11:04:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,40.410014441673034,23.102016273270827,simulation,GOOD
2026-07-10T11:19:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,40.43424192818359,23.208413237429333,simulation,GOOD
2026-07-10T11:34:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,40.44750111354104,22.16232969577328,simulation,GOOD
2026-07-10T11:49:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,40.53266207174733,22.656574617685678,simulation,GOOD
2026-07-10T12:04:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,40.61278891665519,22.72392168111708,simulation,GOOD
2026-07-10T12:19:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,41.17982354069328,22.134165868554508,simulation,GOOD
2026-07-10T12:34:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,40.81149137266781,22.15849150456178,simulation,GOOD
2026-07-10T12:49:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,41.24846562306894,22.018026231452414,simulation,GOOD
2026-07-10T13:04:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,41.32185012539005,21.761682820675205,simulation,GOOD
2026-07-10T13:19:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,41.236245110212366,21.430976780753227,simulation,GOOD
2026-07-10T13:34:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,41.37582236657882,20.90254492468804,simulation,GOOD
2026-07-10T13:49:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,41.881255678262285,20.536150098410573,simulation,GOOD
2026-07-10T14:04:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,42.08900527938044,19.773655247043834,simulation,GOOD
2026-07-10T14:19:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,42.58254738031436,19.392353088550006,simulation,GOOD
2026-07-10T14:34:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,42.87893783658492,19.08070410584674,simulation,GOOD
2026-07-10T14:49:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,42.864551013124576,18.73665714135028,simulation,GOOD
2026-07-10T15:04:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,43.10360196421585,17.73728781079807,simulation,GOOD
2026-07-10T15:19:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,43.372810217605874,17.059521758520155,simulation,GOOD
2026-07-10T15:34:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,44.06246702230721,16.649798344442903,simulation,GOOD
2026-07-10T15:49:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-P,44.24493149616013,16.05769809937227,simulation,GOOD
2026-07-10T16:04:09.741022,DMA-MO-01,Moche 01,SENS-MO-01-F,44.71648733451739,15.350291079045112,simulation,GOOD
